method,config,method_family,median_upset_simple,mean_upset_simple,median_upset_ratio,mean_upset_ratio,median_upset_naive,mean_upset_naive,coverage
DIGRAC,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials1train_r100test_r100AllTrue,GNN,0.3773584961891174,0.3773584961891174,0.6602305352687836,0.6602305352687836,0.0943396240472793,0.0943396240472793,1 / 81
DIGRAC,K12dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,0.4116279077529907,0.4116279077529907,0.7790804851055145,0.7790804851055145,0.1029069769382476,0.1029069769382476,1 / 81
DIGRAC,K3dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,0.4296855342388153,0.4296855342388153,0.6488101997971535,0.6488101997971535,0.1074213835597038,0.1074213835597038,1 / 81
btlDIGRAC,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials2train_r80test_r10AllFalseseeds10_20_30_40_50,other,0.5544666816790899,0.5544666816790899,0.7724087412158648,0.7724087412158648,0.1386206845442454,0.1386206845442454,1 / 81
DIGRAC,K12dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,0.5970764082670211,0.5970764082670211,0.7517962121963501,0.7517962121963501,0.1492691020667552,0.1492691020667552,1 / 81
DIGRAC,K3dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,0.6083018982410431,0.6083018982410431,0.6529783701896668,0.6529783701896668,0.1520754745602607,0.1520754745602607,1 / 81
OURS_MFAS_INS3,trials1train_r100test_r100AllTrue,OURS,0.6093159914016724,0.9945017695426941,0.4988085031509399,0.4847370684146881,0.1523289978504181,0.24862544238567352,3 / 81
OURS_MFAS_INS2,trials1train_r100test_r100AllTrue,OURS,0.6093159914016724,0.9945017695426941,0.4988085031509399,0.4847370684146881,0.1523289978504181,0.24862544238567352,3 / 81
OURS_MFAS_INS1,trials1train_r100test_r100AllTrue,OURS,0.6109945178031921,0.9950612783432007,0.4988085031509399,0.4847528835137685,0.152748629450798,0.24876531958580014,3 / 81
DIGRAC,K5dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,0.6379854500293731,0.6379854500293731,0.7744350272417069,0.7744350272417069,0.1594963625073432,0.1594963625073432,1 / 81
DIGRAC,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,0.6481029611825943,0.6481029611825943,0.8090020340681076,0.8090020340681076,0.1620257402956485,0.1620257402956485,1 / 81
davidScore,trials1train_r100test_r100AllTrue,classical,0.7519932985305786,0.9028123319149017,0.6247237920761108,0.5567426184813181,0.1879983246326446,0.22570308297872535,3 / 81
SpringRank,trials10train_r100test_r100AllTrue,classical,0.8027240633964539,0.8117569998288766,0.5698624551296234,0.3852070743421045,0.2006810158491134,0.2029392499572191,78 / 81
davidScore,trials10train_r100test_r100AllTrue,classical,0.8241382241249084,0.8353933084469575,0.5532494187355042,0.575075510984812,0.2060345560312271,0.20898119799601722,78 / 81
OURS_MFAS_INS2,trials10train_r100test_r100AllTrue,OURS,0.8780487775802612,0.8879140052315476,0.5057481527328491,0.3818741853941571,0.2195121943950653,0.22197850130788688,77 / 81
OURS_MFAS,trials10train_r100test_r100AllTrue,OURS,0.8780487775802612,0.8878800739328583,0.5057481527328491,0.3818907469704554,0.2195121943950653,0.22197001848321452,77 / 81
OURS_MFAS_INS3,trials10train_r100test_r100AllTrue,OURS,0.8780487775802612,0.8878800739328583,0.5057481527328491,0.3818907469704554,0.2195121943950653,0.22197001848321452,77 / 81
SpringRank,trials1train_r100test_r100AllTrue,classical,0.8809269368648529,0.9745093286037445,0.5416499078273773,0.5514552444219589,0.2202317342162132,0.2436273321509361,4 / 81
OURS_MFAS_INS1,trials10train_r100test_r100AllTrue,OURS,0.8809272646903992,0.8886325937973989,0.502814531326294,0.3819149758715134,0.2202318161725998,0.22215814844934967,77 / 81
SVD_NRS,trials10train_r100test_r100AllTrue,classical,0.8915640711784363,0.890535213932013,0.5217003226280212,0.5498474519986373,0.22289101779460904,0.22263380348300318,78 / 81
eigenvectorCentrality,trials1train_r100test_r100AllTrue,classical,0.8929920196533203,1.0622037450472515,0.4985878765583038,0.4925733009974162,0.22324800491333,0.2655509362618128,3 / 81
ib,K3dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,0.90150943338871,0.90150943338871,0.7345267379283905,0.7345267379283905,0.4781132045388221,0.4781132045388221,1 / 81
ib,K5dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,0.9064129775762558,0.9064129775762558,0.9451570451259612,0.9451570451259612,0.6246782387793064,0.6246782387793064,1 / 81
PageRank,trials1train_r100test_r100AllTrue,classical,0.909777581691742,1.103457768758138,0.4393829703330993,0.4193469087282817,0.2274443954229354,0.2758644421895345,3 / 81
ib,K12dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,0.9162292331457138,0.9162292331457138,0.938479163646698,0.938479163646698,0.6873920230567455,0.6873920230567455,1 / 81
ib,K12dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,0.9328903675079344,0.9328903675079344,0.9337978208065032,0.9337978208065032,0.676843855381012,0.676843855381012,1 / 81
btl,trials1train_r100test_r100AllTrue,classical,0.9332773685455322,1.0586132208506267,0.2776472866535187,0.3478470693031947,0.233319342136383,0.2646533052126566,3 / 81
ib,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials1train_r100test_r100AllTrue,GNN,0.9383647799491882,0.9383647799491882,0.7509747862815856,0.7509747862815856,0.3685534626245498,0.3685534626245498,1 / 81
ib,K5dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,0.9409513115882874,0.9409513115882874,0.9423461651802064,0.9423461651802064,0.6808058279752731,0.6808058279752731,1 / 81
ib,K3dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,0.979496853351593,0.979496853351593,0.7599812752008438,0.7599812752008438,0.4477987393736839,0.4477987393736839,1 / 81
btl,trials10train_r100test_r100AllTrue,classical,0.9843852490186691,1.0936155564891987,0.30655481964349746,0.2975845307947542,0.24609631225466727,0.2734038891222996,78 / 81
SVD_RS,trials10train_r100test_r100AllTrue,classical,0.9870696663856506,1.0109546176898174,0.5686889886856079,0.5741088542418602,0.2467674165964126,0.2527386544224543,78 / 81
eigenvectorCentrality,trials10train_r100test_r100AllTrue,classical,1.0060606002807617,1.0316529169296607,0.585718135535717,0.39048338989631676,0.2515151500701904,0.2579132292324151,78 / 81
DIGRAC,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,1.0372277295589447,1.0412039214274922,0.2678026986122131,0.3913083969096302,0.2593069323897362,0.2603023421910942,61 / 81
ib,K9dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,1.071111124753952,1.1123322583161868,0.7402243721485138,0.5973126779152798,0.5928971964120865,0.5535120716691017,13 / 81
PageRank,trials10train_r100test_r100AllTrue,classical,1.0759820938110352,1.0203616382219853,0.41858974099159235,0.32435475859958196,0.2689955234527588,0.2550904095554963,78 / 81
ib,K9dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,1.0841830158233643,1.1260131536538784,0.7402243721485138,0.5935227589423839,0.3716363620758056,0.3796516997882953,13 / 81
DIGRAC,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,1.1124103891849515,1.080832319474611,0.2685782778263092,0.3873034069902401,0.2781067016720772,0.27020919251148817,61 / 81
ib,K20dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,1.1181725931167603,1.1320406012847775,0.3297214692831039,0.47901303408667445,0.7405511510372161,0.7356501641185558,61 / 81
SVD_NRS,trials1train_r100test_r100AllTrue,classical,1.1441355645656586,1.1136298477649689,0.5221437960863113,0.5645263642072678,0.2860338911414146,0.2784074619412422,4 / 81
ib,K48dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,1.1944446754455569,1.1944446754455569,0.9826271247863768,0.9826271247863768,0.7280885124206543,0.7280885124206543,1 / 81
ib,K48dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,1.2169862914085388,1.2169862914085388,0.9981903493404388,0.9981903493404388,0.7208640682697296,0.7208640682697296,1 / 81
ib,K20dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,1.2229645073413848,1.245253490659057,0.297961499094963,0.4935938147666146,0.6620371544361114,0.6542677172578749,61 / 81
SVD_RS,trials1train_r100test_r100AllTrue,classical,1.3362382650375366,1.3639601022005081,0.6476268470287323,0.6731220781803131,0.33405956625938416,0.34099002555012703,4 / 81
DIGRAC,K9dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,1.3793464410305023,1.364550461081358,0.7446137881278991,0.5522038790125113,0.3448366102576256,0.3411376152703395,13 / 81
DIGRAC,K9dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,1.3842424309253694,1.310082427400809,0.7245035314559937,0.5499330589633721,0.3460606077313423,0.3275214269184149,13 / 81
DIGRAC,K48dropout50ratio_coe100margin_coe0withdistFiedler5sigma100alpha100hid32lr10useSpringRanktrials10train_r100test_r100AllTrue,GNN,1.5491506814956666,1.5491506814956666,0.9070178806781768,0.9070178806781768,0.3873256063461304,0.3873256063461304,1 / 81
DIGRAC,K48dropout50ratio_coe100margin_coe0withproximal_baselineFiedler5sigma100alpha100train_alphaTruehid32lr10useSpringRankpredist50trials10train_r100test_r100AllTrue,GNN,1.5765858793258667,1.5765858793258667,0.9167502963542938,0.9167502963542938,0.3941622757911682,0.3941622757911682,1 / 81
syncRank,trials10train_r100test_r100AllTrue,classical,1.7164626121520996,1.680405949462544,0.8020096242427825,0.4942390607972327,0.4291156530380249,0.42013291372107214,77 / 81
syncRank,trials1train_r100test_r100AllTrue,classical,1.7358490228652954,1.7784488598505657,0.8306965231895447,0.653390109539032,0.4339622557163238,0.4446122149626414,3 / 81
mvr,trials10train_r100test_r100AllTrue,classical,1.8012121438980102,1.678185662428538,,,0.4503030359745025,0.4195464156071345,15 / 81
serialRank,trials1train_r100test_r100AllTrue,classical,1.8616352081298828,1.8612237771352131,0.8598529100418091,0.6688712139924368,0.527066707611084,0.5030418038368225,3 / 81
rankCentrality,trials1train_r100test_r100AllTrue,classical,1.916911482810974,1.921139121055603,1.316571593284607,1.0790475606918335,0.4792278707027435,0.48028478026390076,3 / 81
rankCentrality,trials10train_r100test_r100AllTrue,classical,1.9440121054649353,1.934443631233313,1.1674498319625854,0.9734307306699262,0.49025584757328033,0.48869306250260425,78 / 81
serialRank,trials10train_r100test_r100AllTrue,classical,1.9516178965568542,1.8333781833832081,0.7289576709270478,0.4910841789669715,0.4911873936653137,0.46183570703634846,78 / 81
mvr,trials1train_r100test_r100AllTrue,classical,2.389937162399292,2.389937162399292,,,0.597484290599823,0.597484290599823,1 / 81
