method,method_family,valid_metrics,valid_runtime,timeouts,finance_like_exclusions
DIGRAC,GNN,157,156,1,finance:included
ib,GNN,157,156,2,finance:included
OURS_MFAS,OURS,77,77,1,finance:timeout
OURS_MFAS_INS1,OURS,80,80,1,finance:included
OURS_MFAS_INS2,OURS,80,80,1,finance:included
OURS_MFAS_INS3,OURS,80,80,1,finance:included
PageRank,classical,81,81,0,finance:included
SVD_NRS,classical,82,82,0,finance:included
SVD_RS,classical,82,82,0,finance:included
SpringRank,classical,82,82,0,finance:included
btl,classical,81,81,0,finance:included
davidScore,classical,81,81,0,finance:included
eigenvectorCentrality,classical,81,81,0,finance:included
mvr,classical,16,16,3,finance:timeout
rankCentrality,classical,81,81,0,finance:included
serialRank,classical,81,81,0,finance:included
syncRank,classical,80,80,1,finance:included
btlDIGRAC,other,1,0,1,finance:no_data
