method,n_datasets_with_any_row,n_valid_upset_simple,n_valid_runtime,n_timeout,n_within_time_budget
DIGRAC,78,157,156,1,156
OURS_MFAS,78,77,77,1,77
OURS_MFAS_INS1,79,80,80,1,80
OURS_MFAS_INS2,79,80,80,1,80
OURS_MFAS_INS3,79,80,80,1,80
PageRank,79,81,81,0,81
SVD_NRS,80,82,82,0,82
SVD_RS,80,82,82,0,82
SpringRank,80,82,82,0,82
btl,79,81,81,0,81
davidScore,79,81,81,0,81
eigenvectorCentrality,79,81,81,0,81
ib,78,157,156,2,155
rankCentrality,79,81,81,0,81
serialRank,79,81,81,0,81
syncRank,79,80,80,1,80
mvr,18,16,16,3,16
btlDIGRAC,1,1,0,1,0
