method,n_datasets,coverage,median_upset_simple,mean_upset_simple,median_upset_ratio,mean_upset_ratio,median_upset_naive,mean_upset_naive,median_runtime_sec,mean_runtime_sec
SpringRank,78,78/80,0.8027240633964539,0.8117569998288766,0.5698624551296234,0.3852070743421045,0.2006810158491134,0.20293924995721915,0.058019745349883994,0.0727151072942293
davidScore,78,78/80,0.8241382241249084,0.8353933084469575,0.5532494187355042,0.575075510984812,0.2060345560312271,0.20898119799601725,0.0027947902679442997,0.005297841475560071
OURS_MFAS_INS3,77,77/80,0.8780487775802612,0.8878800739328583,0.5057481527328491,0.3818907469704554,0.2195121943950653,0.22197001848321457,1.079134202003479,2.1521448723681567
OURS_MFAS,77,77/80,0.8780487775802612,0.8878800739328583,0.5057481527328491,0.3818907469704554,0.2195121943950653,0.22197001848321457,1.0788014650344848,2.1483796345723145
OURS_MFAS_INS2,77,77/80,0.8780487775802612,0.8879140052315476,0.5057481527328491,0.3818741853941571,0.2195121943950653,0.2219785013078869,1.0795571088790894,2.150800905289588
OURS_MFAS_INS1,77,77/80,0.8809272646903992,0.8886325937973989,0.502814531326294,0.3819149758715134,0.2202318161725998,0.22215814844934972,1.0729929447174071,2.147102616669296
SVD_NRS,78,78/80,0.8915640711784363,0.890535213932013,0.5217003226280212,0.5498474519986373,0.22289101779460904,0.22263380348300324,0.00541108846664425,0.007845492852039776
SVD_RS,78,78/80,0.9870696663856506,1.0109546176898174,0.5686889886856079,0.5741088542418602,0.2467674165964126,0.25273865442245436,0.00428447723388665,0.006460438630519718
PageRank,78,78/80,1.0759820938110352,1.0203616382219853,0.41858974099159235,0.324354758599582,0.2689955234527588,0.25509040955549633,0.0016905784606933,0.0016269992559383574
eigenvectorCentrality,78,78/80,1.0060606002807617,1.0316529169296607,0.585718135535717,0.39048338989631676,0.2515151500701904,0.25791322923241516,0.008207380771636949,0.008007756563333317
DIGRAC,78,78/80,1.0117817956209183,1.0348127908202316,0.7283334824442864,0.4341628033660638,0.2529454489052295,0.258705235159932,11.675453424453735,24.653470316300027
btl,78,78/80,0.9843852490186691,1.0936155564891983,0.30655481964349746,0.2975845307947542,0.24609631225466727,0.27340388912229957,0.0457160353660583,0.15597317432745905
ib,78,78/80,1.113342043161392,1.1127401306843145,0.7501625037193298,0.5191185896963072,0.7382592725753785,0.6884535592163986,64.79734327793122,102.6715621706767
syncRank,77,77/80,1.7164626121520996,1.680405949462544,0.8020096242427825,0.4942390607972327,0.4291156530380249,0.42013291372107225,0.3924108743667602,0.347971664465867
serialRank,78,78/80,1.9516178965568542,1.833378183383208,0.7289576709270478,0.4910841789669715,0.4911873936653137,0.46183570703634846,0.008592057228088298,0.05624481409023966
rankCentrality,78,78/80,1.9440121054649353,1.934443631233313,1.1674498319625854,0.9734307306699267,0.49025584757328033,0.48869306250260425,0.0185568451881408,0.022341166704128897
